GO Title 	 GF-BT diff 	 BT-RF diff 	 GF-RF diff	
cellularresponsetoextracellularstimulus	0.0719	0.0491	0.0024	
filopodium	0.0722	0.0547	0.0098	
positiveregulationofproteinphosphorylation	0.0725	0.0008	0.0011	
nitric-oxidesynthaseregulatoractivity	0.0768	0.0006	0.0072	
ruffle	0.0768	0.0657	0.0098	
lateendosome	0.0797	0.0092	0.0165	
responsetocorticosterone	0.0848	0.0006	0.0087	
lamellipodium	0.0858	0.002	0.0017	
actinfilamentsevering	0.0862	0.0286	0.001	
actinfilamentcapping	0.0883	0.0293	0.0011	
hypoxanthinesalvage	0.0884	0.0669	0.0033	
calcium-mediatedsignaling	0.0888	0.0003	0.0078	
cysteine-typepeptidaseactivity	0.0891	0.0617	0.0098	
positiveregulationofJNKcascade	0.0894	0.163	0.008	
actinfilamentdepolymerization	0.0903	0.0412	0.0057	
endosome	0.0931	0.2753	0.009	
vacuolarmembrane	0.0981	0.1775	0.0009	
aminoacidtransport	0.0981	0.1775	0.0009	
cationbinding	0.0981	0.1775	0.0009	
cytosol	0.1037	0.012	0.0002	
actinfilamentpolymerization	0.1039	0.0296	0.0011	
thioesterasebinding	0.1049	0.0006	0.0073	
thioredoxin-disulfidereductaseactivity	0.1049	0.0037	0.1256	
regulationoftranscriptionfromRNApolymeraseIIpromoter	0.1117	0.0443	0.0096	
fibrinogencomplex	0.1171	0.5785	0.0037	
positiveregulationofsmoothmusclecellproliferation	0.118	0.1363	0.0016	
angiogenesis	0.1191	0.1705	0.0016	
responsetoamphetamine	0.1228	0.0013	0.0168	
regulationofbloodvesselsizebyrenin-angiotensin	0.1242	0.1363	0.0008	
negativeregulationofplasminogenactivation	0.1242	0.1363	0.0008	
positiveregulationofcelldifferentiation	0.1242	0.1363	0.0008	
bloodvesselmorphogenesis	0.1242	0.1363	0.0008	
negativeregulationoffibrinolysis	0.1242	0.1363	0.0008	
positiveregulationoftransforminggrowthfactorbetaproduction	0.1242	0.1363	0.0008	
gastrulation	0.1246	0.0034	0.0165	
kidneydevelopment	0.1263	0.1131	0.005	
uretericbuddevelopment	0.1281	0.0026	0.0049	
one-carbonmetabolicprocess	0.1336	0.0041	0.0072	
meprinAcomplex	0.1346	0.3575	0.0033	
lamellipodiumassembly	0.135	0.5743	0.0024	
extrinsiccomponentofplasmamembrane	0.1368	0.0017	0.0012	
regulationofproteinstability	0.137	0.2605	0.0065	
epidermalgrowthfactorreceptorsignalingpathway	0.1388	0.0296	0.0019	
positiveregulationofactinfilamentbundleassembly	0.1388	0.0296	0.0019	
actinfilamentbundle	0.1388	0.0296	0.0019	
filopodiumtip	0.1388	0.0296	0.0019	
lysophosphatidicacidbinding	0.1388	0.0296	0.0019	
cellularresponsetohepatocytegrowthfactorstimulus	0.1388	0.0296	0.0019	
regulationofactinnucleation	0.1388	0.0296	0.0019	
cytoplasmicactin-basedcontractioninvolvedincellmotility	0.1388	0.0296	0.0019	
regulationoflamellipodiummorphogenesis	0.1388	0.0296	0.0019	
brushborder	0.1402	0.0517	0.0007	
lipoproteintransport	0.1466	0.1411	0.0001	
carbonatedehydrataseactivity	0.1496	0.0047	0.008	
responsetocold	0.1536	0.0017	0.5333	
regulationofreleaseofsequesteredcalciumionintocytosolbysarcoplasmicreticulum	0.1574	0.0007	0.0123	
positiveregulationofryanodine-sensitivecalcium-releasechannelactivity	0.1574	0.0007	0.0123	
steroidmetabolicprocess	0.1575	0.0036	0.0031	
cellproliferation	0.1639	0.0377	0.0029	
intermediatefilament	0.167	0.0003	0	
aminopeptidaseactivity	0.1682	0.1778	0.005	
glycoproteinbinding	0.1701	0.0015	0.0016	
endoplasmicreticulum-Golgiintermediatecompartment	0.1729	0.1602	0.0017	
peptidaseactivatoractivityinvolvedinapoptoticprocess	0.1757	0.0194	0.0009	
chondrocytedifferentiation	0.1897	0.0015	0.09	
cellmaturation	0.1897	0.0015	0.09	
heartcontraction	0.1969	0.1983	0.0034	
cysteine-typeendopeptidaseinhibitoractivity	0.2006	0.0012	0.0861	
peptidehormonebinding	0.2057	0.0017	0.0016	
receptorbiosyntheticprocess	0.2057	0.0017	0.0016	
receptor-mediatedvirionattachmenttohostcell	0.2057	0.0017	0.0016	
lateralplasmamembrane	0.2144	0.0044	0.0074	
ceramidaseactivity	0.217	0.447	0.0071	
responsetoorganicsubstance	0.2171	0.1591	0.0009	
proteindomainspecificbinding	0.2188	0.0036	0.0152	
negativeregulationofapoptoticprocess	0.2219	0.0507	0.0097	
manganeseionbinding	0.2277	0.1131	0.0064	
positiveregulationofbinding	0.2278	0.003	0.0007	
cellularresponsetoacid	0.2278	0.003	0.0007	
chlorideionbinding	0.228	0.0194	0.0008	
metallocarboxypeptidaseactivity	0.2347	0.0007	0.0057	
negativeregulationofcysteine-typeendopeptidaseactivityinvolvedinapoptoticprocess	0.2399	0.0633	0.0043	
serine-typeendopeptidaseactivity	0.2413	0.6012	0.0017	
responsetotestosterone	0.2414	0.0078	0.0242	
angiotensin-mediateddrinkingbehavior	0.2473	0.0017	0.0019	
cellmigration	0.2473	0.0497	0.0035	
voltage-gatedanionchannelactivity	0.2538	0.0082	0.0441	
porinactivity	0.2538	0.0082	0.0441	
porecomplex	0.2538	0.0082	0.0441	
lysosomalmembrane	0.2579	0.1791	0.0004	
ubiquitinproteinligasebinding	0.2712	0.0202	0.0024	
collagenfibrilorganization	0.28	0.0145	0.0003	
melanosome	0.2818	0.1763	0.0014	
proteolysis	0.2846	0.0959	0.0013	
acuteinflammatoryresponse	0.2873	0.6663	0.0054	
GDPbinding	0.2948	0.0122	0.0096	
regulationofcytokineproduction	0.3106	0.0038	0.0006	
negativeregulationofdephosphorylation	0.3106	0.0038	0.0006	
slitdiaphragm	0.3106	0.0038	0.0006	
glomerularvisceralepithelialcelldevelopment	0.3106	0.0038	0.0006	
vesiclelocalization	0.3112	0.2201	0.0041	
"phosphatidylinositol-4,5-bisphosphatebinding"	0.3191	0.0283	0.0028	
peptidebinding	0.3352	0.0012	0.02	
cell-celljunction	0.3376	0.0037	0.043	
peptidyl-dipeptidaseactivity	0.3402	0.0034	0.0024	
proteinserine/threoninephosphataseactivity	0.3416	0.0081	0.0372	
proteindephosphorylation	0.3416	0.0081	0.0372	
membranetomembranedocking	0.3458	0.0081	0.0069	
regulationofmulticellularorganismgrowth	0.3458	0.0033	0.2855	
multicellularorganismaldevelopment	0.3507	0.0072	0.015	
mesodermformation	0.3521	0.0032	0.1124	
cellsurface	0.3525	0.0025	0.0022	
ATDNAbinding	0.3533	0.1201	0	
"DNAbinding,bending"	0.3533	0.1201	0	
positiveregulationofcellmigration	0.3557	0.0041	0.0005	
calmodulin-dependentproteinkinaseactivity	0.357	0.0005	0.2069	
myosinlightchainkinaseactivity	0.357	0.0005	0.2069	
smoothmusclecontraction	0.357	0.0005	0.2069	
tonicsmoothmusclecontraction	0.357	0.0005	0.2069	
cellbody	0.3614	0.0026	0.0011	
microspike	0.3625	0.0054	0.0069	
celltip	0.3625	0.0054	0.0069	
astrocyteprojection	0.3625	0.0054	0.0069	
Schwanncellmicrovillus	0.3625	0.0054	0.0069	
ankyrinbinding	0.3716	0.0077	0.0579	
ciliarybasalbody	0.3739	0.0057	0.0077	
endosomeorganization	0.3739	0.005	0.3707	
regulationofendocytosis	0.3739	0.005	0.3707	
positiveregulationofvesiclefusion	0.3751	0.0083	0.0072	
sarcolemma	0.3836	0.0004	0.0001	
integralcomponentofmembrane	0.3863	0.0481	0.0057	
nuclearmatrix	0.3884	0.0041	0.0288	
stereocilium	0.3961	0.2013	0.0059	
metalloexopeptidaseactivity	0.4021	0.166	0.006	
organregeneration	0.4086	0.1469	0.0096	
centrosome	0.4116	0.0015	0.016	
high-densitylipoproteinparticlebinding	0.4192	0.3106	0.009	
cellularresponsetoglucocorticoidstimulus	0.4265	0.1772	0.0075	
activationofMAPKactivity	0.4339	0.0055	0.541	
ionchannelinhibitoractivity	0.4379	0.0026	0.1	
negativeregulationofWntsignalingpathway	0.4379	0.0026	0.1	
proteintyrosinekinaseinhibitoractivity	0.4379	0.0026	0.1	
positiveregulationofcAMPcatabolicprocess	0.4379	0.0026	0.1	
receptortyrosinekinasebinding	0.4379	0.0026	0.1	
positiveregulationofproteinhomooligomerization	0.4379	0.0026	0.1	
SH2domainbinding	0.4379	0.0026	0.1	
rhythmicprocess	0.4379	0.0026	0.1	
regulationofcelldivision	0.4379	0.0026	0.1	
positiveregulationofmitochondrialdepolarization	0.4379	0.0026	0.1	
regulationofestablishmentofproteinlocalizationtoplasmamembrane	0.4379	0.0026	0.1	
regulationofestablishmentofcellpolarity	0.4379	0.0026	0.1	
positiveregulationofgastrulation	0.4379	0.0026	0.1	
receptorinternalization	0.4513	0.0083	0.0039	
ornithine-oxo-acidtransaminaseactivity	0.459	0.0585	0.002	
proteinhexamerization	0.459	0.0585	0.002	
L-prolinebiosyntheticprocess	0.459	0.0585	0.002	
misfoldedproteinbinding	0.4649	0.0075	0.0642	
ethanolcatabolicprocess	0.4749	0.0592	0.0027	
uropod	0.4812	0.008	0.0088	
regulationofviralgenomereplication	0.4823	0.0011	0.0605	
proteinpeptidyl-prolylisomerization	0.4888	0.0009	0.064	
cysteine-typeendopeptidaseactivatoractivityinvolvedinapoptoticprocess	0.4894	0.0026	0.098	
positiveregulationofGTPaseactivity	0.4894	0.0026	0.098	
peptidyl-prolylcis-transisomeraseactivity	0.4965	0.0009	0.0647	
regulationofgrowth	0.5002	0.1342	0.0063	
alpha-glucosidaseactivity	0.5023	0.0955	0.0092	
amylaseactivity	0.5023	0.0955	0.0092	
maltosealpha-glucosidaseactivity	0.5023	0.0955	0.0092	
perikaryon	0.5034	0.0026	0.0193	
creatinekinaseactivity	0.5037	0.009	0.2596	
intracellularsignaltransduction	0.5148	0.003	0.0777	
establishmentofproteinlocalizationtoplasmamembrane	0.5257	0.0001	0.0505	
carboxypeptidaseactivity	0.5361	0.0063	0.0026	
salivaryglandcavitation	0.5471	0.0001	0.0569	
microtubule	0.5747	0.0044	0.0102	
cellularresponsetoUV-B	0.5957	0.004	0.0208	
proteinN-terminusbinding	0.5984	0.0464	0.0046	
receptoractivity	0.6053	0.0196	0.001	
nucleus	0.608	0.0312	0.0075	
arylsulfotransferaseactivity	0.6109	0.0046	0.0672	
protein-disulfidereductase(glutathione)activity	0.6195	0.0465	0.0055	
midbody	0.6226	0.0026	0.0058	
hydroxyacylglutathionehydrolaseactivity	0.6238	0.1383	0.0005	
cellperiphery	0.6352	0.0004	0.0012	
positiveregulationofglucoseimport	0.6439	0.0051	0.0096	
actionpotential	0.6496	0.206	0.0019	
G-proteincoupledreceptorbinding	0.6496	0.206	0.0019	
adenylatecyclase-modulatingG-proteincoupledreceptorsignalingpathway	0.6496	0.206	0.0019	
glutamatereceptorsignalingpathway	0.6496	0.206	0.0019	
G-proteinbeta/gamma-subunitcomplexbinding	0.6496	0.206	0.0019	
regulationofmelanocytedifferentiation	0.6496	0.206	0.0019	
developmentalpigmentation	0.6496	0.206	0.0019	
cellularresponsetopH	0.6496	0.206	0.0019	
epithelialcellmorphogenesis	0.6762	0.0822	0.0086	
transketolaseactivity	0.6894	0.1342	0.0044	
glyceraldehyde-3-phosphatebiosyntheticprocess	0.6894	0.1342	0.0044	
basalplasmamembrane	0.6958	0.1074	0.0001	
extrinsicapoptoticsignalingpathway	0.7067	0.0029	0.0134	
lateendosomemembrane	0.7158	0.0788	0.0027	
T-tubule	0.7239	0.0073	0.009	
celladhesionmoleculebinding	0.7283	0.0081	0.0016	
striatedmusclecontraction	0.7317	0.1061	0.0057	
RabGTPasebinding	0.7609	0.0021	0.0049	
responsetohydrostaticpressure	0.7655	0.0026	0.0116	
metallopeptidaseactivity	0.8118	0.0182	0.0027	
positiveregulationofMAPkinaseactivity	0.8253	0.0014	0.0525	
seleniumbinding	0.8273	0.0088	0.003	
catenincomplex	0.8275	0.0001	0.1502	
gamma-cateninbinding	0.8275	0.0001	0.1502	
cellularresponsetoindole-3-methanol	0.8275	0.0001	0.1502	
cytoplasmicsideofplasmamembrane	0.8283	0.0001	0.15	
cellcycle	0.8403	0.0087	0.0122	
fibrinolysis	0.8494	0.0036	0.0079	
arginaseactivity	0.8545	0.07	0.0027	
argininemetabolicprocess	0.8545	0.07	0.0027	
NAD+nucleosidaseactivity	0.8579	0.1258	0.0016	
transferaseactivity	0.8579	0.1258	0.0016	
NAD(P)+nucleosidaseactivity	0.8579	0.1258	0.0016	
proteintargetingtoplasmamembrane	0.8583	0.0033	0.0092	
mitochondrialmatrix	0.8586	0.1337	0.0094	
phospholipaseinhibitoractivity	0.8598	0.0031	0.0088	
bodyfluidsecretion	0.8598	0.0031	0.0088	
myelinsheathadaxonalregion	0.8598	0.0031	0.0088	
cytoskeletalproteinbinding	0.8604	0.0012	0.0232	
Schmidt-Lantermanincisure	0.8633	0.0019	0.0131	
cellmorphogenesisinvolvedindifferentiation	0.8675	0.0022	0.0115	
plasmamembrane	0.8796	0.009	0.0023	
apicaljunctioncomplex	0.8826	0.0001	0.1374	
ureacycle	0.8872	0.0759	0.0038	
tumornecrosisfactor-mediatedsignalingpathway	0.8923	0.0061	0.0289	
scaffoldproteinbinding	0.8955	0.0089	0.0367	
proteinlocalization	0.9	0.081	0.0003	
basementmembrane	0.9024	0.0072	0.0184	
synapseassembly	0.9047	0.0001	0.1327	
aggresome	0.9047	0.0001	0.1327	
pituitaryglanddevelopment	0.9047	0.0001	0.1327	
negativeregulationofcell-celladhesion	0.9047	0.0001	0.1327	
nodeofRanvier	0.9047	0.0001	0.1327	
regulationofwaterlossviaskin	0.9047	0.0001	0.1327	
lateralloop	0.9047	0.0001	0.1327	
regulationofcysteine-typeendopeptidaseactivityinvolvedinapoptoticprocess	0.9047	0.0001	0.1327	
regulationofbranchinginvolvedinsalivaryglandmorphogenesis	0.9047	0.0001	0.1327	
cellularresponsetoaminoacidstimulus	0.9047	0.0001	0.1327	
negativeregulationofcanonicalWntsignalingpathway	0.9047	0.0001	0.1327	
cochleadevelopment	0.9047	0.0001	0.1327	
regulationofneuronmigration	0.9047	0.0001	0.1327	
proteinmetabolicprocess	0.9047	0.0024	0.172	
cytoplasm	0.9075	0.202	0.0022	
ciliarymembrane	0.9094	0.0016	0.021	
epithelialcelldifferentiation	0.9109	0.0047	0.0036	
internalproteinaminoacidacetylation	0.9156	0.1176	0.0011	
apoptoticcellclearance	0.9177	0.0774	0.007	
"hydrolaseactivity,actingonglycosylbonds"	0.9262	0.2917	0.0072	
proteinphosphatasebinding	0.929	0.0011	0.076	
malatedehydrogenase(NADP+)activity	0.9314	0.1147	0.0011	
phospholipidcatabolicprocess	0.933	0.0373	0.0054	
positiveregulationofDNAreplication	0.9493	0.0351	0.0084	
multicellularorganismallipidcatabolicprocess	0.9504	0.0208	0.0039	
phosphatidylcholinemetabolicprocess	0.9504	0.0208	0.0039	
positiveregulationofproteasomalubiquitin-dependentproteincatabolicprocess	0.9534	0.0069	0.0389	
centriolarsatellite	0.9583	0.0063	0.2962	
calcium-dependentphospholipaseA2activity	0.9604	0.0218	0.0042	
cellularresponsetoepidermalgrowthfactorstimulus	0.9614	0.1241	0.003	
fattyacidbiosyntheticprocess	0.9741	0.0218	0.0043	
retinoidmetabolicprocess	0.981	0.2074	0	
"regulationoftranscription,DNA-templated"	0.9821	0.069	0.0036	
brownfatcelldifferentiation	0.9876	0.0008	0.0203	
negativeregulationofproteinpolymerization	0.9914	0.0002	0.1224	
negativeregulationofintrinsicapoptoticsignalingpathway	0.9914	0.0002	0.1224	
phospholipaseA2activity	0.9922	0.0202	0.0054	
